run	spots	experiment	sample	organism	project	title	is_single_cell
SRR1779642	449251	SRX859090	SRS830668	Homo sapiens	PRJNA274006	GSM1596310: singles-H1ESC-well-56; Homo sapiens; OTHER	TRUE
SRR1779643	233590	SRX859091	SRS830669	Homo sapiens	PRJNA274006	GSM1596311: singles-H1ESC-well-57; Homo sapiens; OTHER	TRUE
SRR1779644	235400	SRX859092	SRS830670	Homo sapiens	PRJNA274006	GSM1596312: singles-H1ESC-well-58; Homo sapiens; OTHER	TRUE
SRR1779645	155482	SRX859093	SRS830671	Homo sapiens	PRJNA274006	GSM1596313: singles-H1ESC-well-59; Homo sapiens; OTHER	TRUE
SRR1779646	409917	SRX859094	SRS830672	Homo sapiens	PRJNA274006	GSM1596314: singles-H1ESC-well-60; Homo sapiens; OTHER	TRUE
SRR1779647	636257	SRX859095	SRS830673	Homo sapiens	PRJNA274006	GSM1596315: singles-H1ESC-well-61; Homo sapiens; OTHER	TRUE
SRR1779648	224928	SRX859096	SRS830674	Homo sapiens	PRJNA274006	GSM1596316: singles-H1ESC-well-62; Homo sapiens; OTHER	TRUE
SRR1779649	348060	SRX859097	SRS830676	Homo sapiens	PRJNA274006	GSM1596317: singles-H1ESC-well-63; Homo sapiens; OTHER	TRUE
SRR1779650	535442	SRX859098	SRS830675	Homo sapiens	PRJNA274006	GSM1596318: singles-H1ESC-well-64; Homo sapiens; OTHER	TRUE
SRR1779651	517591	SRX859099	SRS830678	Homo sapiens	PRJNA274006	GSM1596319: singles-H1ESC-well-65; Homo sapiens; OTHER	TRUE
SRR1779652	390738	SRX859100	SRS830677	Homo sapiens	PRJNA274006	GSM1596320: singles-H1ESC-well-66; Homo sapiens; OTHER	TRUE
SRR1779653	237625	SRX859101	SRS830679	Homo sapiens	PRJNA274006	GSM1596321: singles-H1ESC-well-67; Homo sapiens; OTHER	TRUE
SRR1779654	563059	SRX859102	SRS830681	Homo sapiens	PRJNA274006	GSM1596322: singles-H1ESC-well-68; Homo sapiens; OTHER	TRUE
SRR1779655	355477	SRX859103	SRS830680	Homo sapiens	PRJNA274006	GSM1596323: singles-H1ESC-well-69; Homo sapiens; OTHER	TRUE
SRR1779656	188806	SRX859104	SRS830682	Homo sapiens	PRJNA274006	GSM1596324: singles-H1ESC-well-70; Homo sapiens; OTHER	TRUE
SRR1779657	336844	SRX859105	SRS830684	Homo sapiens	PRJNA274006	GSM1596325: singles-H1ESC-well-71; Homo sapiens; OTHER	TRUE
SRR1779658	972505	SRX859106	SRS830683	Homo sapiens	PRJNA274006	GSM1596326: singles-H1ESC-well-72; Homo sapiens; OTHER	TRUE
SRR1779660	148629	SRX859108	SRS830685	Homo sapiens	PRJNA274006	GSM1596328: singles-H1ESC-well-74; Homo sapiens; OTHER	TRUE
SRR1779661	461153	SRX859109	SRS830688	Homo sapiens	PRJNA274006	GSM1596329: singles-H1ESC-well-75; Homo sapiens; OTHER	TRUE
SRR1779662	331939	SRX859110	SRS830687	Homo sapiens	PRJNA274006	GSM1596330: singles-H1ESC-well-76; Homo sapiens; OTHER	TRUE
SRR1779663	682116	SRX859111	SRS830689	Homo sapiens	PRJNA274006	GSM1596331: singles-H1ESC-well-77; Homo sapiens; OTHER	TRUE
SRR1779664	447462	SRX859112	SRS830691	Homo sapiens	PRJNA274006	GSM1596332: singles-H1ESC-well-78; Homo sapiens; OTHER	TRUE
SRR1779665	508997	SRX859113	SRS830690	Homo sapiens	PRJNA274006	GSM1596333: singles-H1ESC-well-79; Homo sapiens; OTHER	TRUE
SRR1779666	318881	SRX859114	SRS830692	Homo sapiens	PRJNA274006	GSM1596334: singles-H1ESC-well-80; Homo sapiens; OTHER	TRUE
SRR1779667	321564	SRX859115	SRS830693	Homo sapiens	PRJNA274006	GSM1596335: singles-H1ESC-well-81; Homo sapiens; OTHER	TRUE
SRR1779668	312639	SRX859116	SRS830694	Homo sapiens	PRJNA274006	GSM1596336: singles-H1ESC-well-82; Homo sapiens; OTHER	TRUE
SRR1779669	275561	SRX859117	SRS830695	Homo sapiens	PRJNA274006	GSM1596337: singles-H1ESC-well-83; Homo sapiens; OTHER	TRUE
SRR1779670	609743	SRX859118	SRS830697	Homo sapiens	PRJNA274006	GSM1596338: singles-H1ESC-well-84; Homo sapiens; OTHER	TRUE
SRR1779671	222365	SRX859119	SRS830696	Homo sapiens	PRJNA274006	GSM1596339: singles-H1ESC-well-85; Homo sapiens; OTHER	TRUE
SRR1779672	145191	SRX859120	SRS830698	Homo sapiens	PRJNA274006	GSM1596340: singles-H1ESC-well-86; Homo sapiens; OTHER	TRUE
SRR1779673	441192	SRX859121	SRS830699	Homo sapiens	PRJNA274006	GSM1596341: singles-H1ESC-well-87; Homo sapiens; OTHER	TRUE
SRR1779674	418281	SRX859122	SRS830700	Homo sapiens	PRJNA274006	GSM1596342: singles-H1ESC-well-88; Homo sapiens; OTHER	TRUE
SRR1779675	363960	SRX859123	SRS830701	Homo sapiens	PRJNA274006	GSM1596343: singles-H1ESC-well-89; Homo sapiens; OTHER	TRUE
SRR1779676	850691	SRX859124	SRS830702	Homo sapiens	PRJNA274006	GSM1596344: singles-H1ESC-well-90; Homo sapiens; OTHER	TRUE
SRR1779677	471949	SRX859125	SRS830703	Homo sapiens	PRJNA274006	GSM1596345: singles-H1ESC-well-91; Homo sapiens; OTHER	TRUE
SRR1779678	353050	SRX859126	SRS830704	Homo sapiens	PRJNA274006	GSM1596346: singles-H1ESC-well-92; Homo sapiens; OTHER	TRUE
SRR1779679	496347	SRX859127	SRS830705	Homo sapiens	PRJNA274006	GSM1596347: singles-H1ESC-well-93; Homo sapiens; OTHER	TRUE
SRR1779680	332684	SRX859128	SRS830706	Homo sapiens	PRJNA274006	GSM1596348: singles-H1ESC-well-94; Homo sapiens; OTHER	TRUE
SRR1779681	549016	SRX859129	SRS830707	Homo sapiens	PRJNA274006	GSM1596349: singles-H1ESC-well-95; Homo sapiens; OTHER	TRUE
SRR1779682	465162	SRX859130	SRS830708	Homo sapiens	PRJNA274006	GSM1596350: singles-H1ESC-well-96; Homo sapiens; OTHER	TRUE
SRR1779683	138719	SRX859131	SRS830709	Homo sapiens	PRJNA274006	GSM1596351: singles-GM-rep1-well-1; Homo sapiens; OTHER	TRUE
SRR1779689	348764	SRX859137	SRS830716	Homo sapiens	PRJNA274006	GSM1596357: singles-GM-rep1-well-7; Homo sapiens; OTHER	TRUE
SRR1779707	112855	SRX859155	SRS830734	Homo sapiens	PRJNA274006	GSM1596375: singles-GM-rep1-well-25; Homo sapiens; OTHER	TRUE
SRR1779709	172818	SRX859157	SRS830735	Homo sapiens	PRJNA274006	GSM1596377: singles-GM-rep1-well-27; Homo sapiens; OTHER	TRUE
SRR1779710	196351	SRX859158	SRS830741	Homo sapiens	PRJNA274006	GSM1596378: singles-GM-rep1-well-28; Homo sapiens; OTHER	TRUE
SRR1779712	163079	SRX859160	SRS830737	Homo sapiens	PRJNA274006	GSM1596380: singles-GM-rep1-well-30; Homo sapiens; OTHER	TRUE
SRR1779713	149971	SRX859161	SRS830738	Homo sapiens	PRJNA274006	GSM1596381: singles-GM-rep1-well-31; Homo sapiens; OTHER	TRUE
SRR1779714	194465	SRX859162	SRS830740	Homo sapiens	PRJNA274006	GSM1596382: singles-GM-rep1-well-32; Homo sapiens; OTHER	TRUE
SRR1779715	166405	SRX859163	SRS830739	Homo sapiens	PRJNA274006	GSM1596383: singles-GM-rep1-well-33; Homo sapiens; OTHER	TRUE
SRR1779717	150586	SRX859165	SRS830743	Homo sapiens	PRJNA274006	GSM1596385: singles-GM-rep1-well-35; Homo sapiens; OTHER	TRUE
SRR1779718	171951	SRX859166	SRS830744	Homo sapiens	PRJNA274006	GSM1596386: singles-GM-rep1-well-36; Homo sapiens; OTHER	TRUE
SRR1779719	225758	SRX859167	SRS830745	Homo sapiens	PRJNA274006	GSM1596387: singles-GM-rep1-well-37; Homo sapiens; OTHER	TRUE
SRR1779722	185555	SRX859170	SRS830747	Homo sapiens	PRJNA274006	GSM1596390: singles-GM-rep1-well-40; Homo sapiens; OTHER	TRUE
SRR1779723	145273	SRX859171	SRS830751	Homo sapiens	PRJNA274006	GSM1596391: singles-GM-rep1-well-41; Homo sapiens; OTHER	TRUE
SRR1779724	127703	SRX859172	SRS830748	Homo sapiens	PRJNA274006	GSM1596392: singles-GM-rep1-well-42; Homo sapiens; OTHER	TRUE
SRR1779729	138658	SRX859177	SRS830753	Homo sapiens	PRJNA274006	GSM1596397: singles-GM-rep1-well-47; Homo sapiens; OTHER	TRUE
SRR1779731	134812	SRX859179	SRS830755	Homo sapiens	PRJNA274006	GSM1596399: singles-GM-rep1-well-49; Homo sapiens; OTHER	TRUE
SRR1779733	151226	SRX859181	SRS830759	Homo sapiens	PRJNA274006	GSM1596401: singles-GM-rep1-well-51; Homo sapiens; OTHER	TRUE
SRR1779734	108406	SRX859182	SRS830762	Homo sapiens	PRJNA274006	GSM1596402: singles-GM-rep1-well-52; Homo sapiens; OTHER	TRUE
SRR1779736	163024	SRX859184	SRS830761	Homo sapiens	PRJNA274006	GSM1596404: singles-GM-rep1-well-54; Homo sapiens; OTHER	TRUE
SRR1779741	125327	SRX859189	SRS830770	Homo sapiens	PRJNA274006	GSM1596409: singles-GM-rep1-well-59; Homo sapiens; OTHER	TRUE
SRR1779742	117327	SRX859190	SRS830766	Homo sapiens	PRJNA274006	GSM1596410: singles-GM-rep1-well-60; Homo sapiens; OTHER	TRUE
SRR1779743	220588	SRX859191	SRS830767	Homo sapiens	PRJNA274006	GSM1596411: singles-GM-rep1-well-61; Homo sapiens; OTHER	TRUE
SRR1779744	105751	SRX859192	SRS830768	Homo sapiens	PRJNA274006	GSM1596412: singles-GM-rep1-well-62; Homo sapiens; OTHER	TRUE
SRR1779745	325828	SRX859193	SRS830771	Homo sapiens	PRJNA274006	GSM1596413: singles-GM-rep1-well-63; Homo sapiens; OTHER	TRUE
SRR1779746	216706	SRX859194	SRS830772	Homo sapiens	PRJNA274006	GSM1596414: singles-GM-rep1-well-64; Homo sapiens; OTHER	TRUE
SRR1779749	146890	SRX859197	SRS830775	Homo sapiens	PRJNA274006	GSM1596417: singles-GM-rep1-well-67; Homo sapiens; OTHER	TRUE
SRR1779750	112411	SRX859198	SRS830776	Homo sapiens	PRJNA274006	GSM1596418: singles-GM-rep1-well-68; Homo sapiens; OTHER	TRUE
